23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.174947006447475,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.1799688561121,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.184990706067765,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.190012556314468,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.19503440685221,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.20005625768099,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.20507810880081,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.210099960211664,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.210099960211664,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.21512181191356,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.21512181191356,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.22014366390649,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.225165516190465,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.225165516190465,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.230187368765474,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:46, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.230187368765474,  Ventoinha = 0%, Resistor = 100.0%
